gsm,title,characteristics,cell_line,treatment,cell_line_matched,norm_key,Sample,Molecular Subtype,GI50
GSM1160848,JHOS-3(-),"['cell line: JHOS-3', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",JHOS-3,control,JHOS-3,JHOS3,JHOS-3,Epi-B,4.143e-05
GSM1160849,JHOS-3(+),"['cell line: JHOS-3', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",JHOS-3,cisplatin,JHOS-3,JHOS3,JHOS-3,Epi-B,4.143e-05
GSM1160850,OAW28(-),"['cell line: OAW28', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OAW28,control,OAW28,OAW28,OAW28,Mes,3.428e-05
GSM1160851,OAW28(+),"['cell line: OAW28', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OAW28,cisplatin,OAW28,OAW28,OAW28,Mes,3.428e-05
GSM1160852,OAW42(-),"['cell line: OAW42', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 4']",OAW42,control,OAW42,OAW42,OAW42,Stem-A,2.94e-06
GSM1160853,OAW42(+),"['cell line: OAW42', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 4']",OAW42,cisplatin,OAW42,OAW42,OAW42,Stem-A,2.94e-06
GSM1160854,DOV13A(-),"['cell line: DOV13A', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",DOV13A,control,DOV 13,DOV13,DOV 13,Mes,5.187e-05
GSM1160855,DOV13A(+),"['cell line: DOV13A', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",DOV13A,cisplatin,DOV 13,DOV13,DOV 13,Mes,5.187e-05
GSM1160856,OV56(-),"['cell line: OV56', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OV56,control,OV56,OV56,OV56,Mes,2.069e-05
GSM1160857,OV56(+),"['cell line: OV56', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OV56,cisplatin,OV56,OV56,OV56,Mes,2.069e-05
GSM1160858,OVCAR-3(+),"['cell line: OVCAR-3', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OVCAR-3,cisplatin,OVCAR-3,OVCAR3,,,
GSM1160859,OVCA432(-),"['cell line: OVCA432', 'cell type: ovarian cancer cell line', 'treatment: none', 'batch: 5']",OVCA432,control,OVCA432,OVCA432,OVCA 432,Epi-B,2.528e-05
GSM1160860,OVCA432(+),"['cell line: OVCA432', 'cell type: ovarian cancer cell line', 'treatment: Cisplatin', 'batch: 5']",OVCA432,cisplatin,OVCA432,OVCA432,OVCA 432,Epi-B,2.528e-05
