gene,logFC,pval,adj_p,neg_log10_adj_p
PLA2R1,1.4846520666666665,0.009108496398030963,0.7553569094779913,0.12184779381310676
PLEK2,2.4642536666666643,0.009108496398030963,0.7553569094779913,0.12184779381310676
PLEKHA2,2.0830610499999995,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PLSCR4,1.4052017166666664,0.009108496398030963,0.7553569094779913,0.12184779381310676
PMEPA1,2.394787533333332,0.00579535854433471,0.7223490723059768,0.14125288062942037
POMP,0.5990536166666658,0.0028272720911168077,0.7223490723059768,0.14125288062942037
PPP1R1A,-0.6799614333333341,0.00579535854433471,0.7223490723059768,0.14125288062942037
PRR16,0.8504126666666663,0.0072845570094796615,0.7223490723059768,0.14125288062942037
PRRG4,1.7403894000000006,0.004586392080253494,0.7223490723059768,0.14125288062942037
PRSS23,2.5398851833333334,0.0036105143123296027,0.7223490723059768,0.14125288062942037
PSMB8,2.6204997499999996,0.0028272720911168077,0.7223490723059768,0.14125288062942037
PSME2,0.7255228833333343,0.009108496398030963,0.7553569094779913,0.12184779381310676
PTPRE,0.9419678833333327,0.0022022199424970783,0.7223490723059768,0.14125288062942037
RBMS1P1,0.8128099833333335,0.0072845570094796615,0.7223490723059768,0.14125288062942037
RHBDL2,1.9728699833333323,0.00579535854433471,0.7223490723059768,0.14125288062942037
RHOU,-0.7891460000000015,0.0072845570094796615,0.7223490723059768,0.14125288062942037
RND3,2.148589366666669,0.0036105143123296027,0.7223490723059768,0.14125288062942037
RNF6,0.6498145666666675,0.00579535854433471,0.7223490723059768,0.14125288062942037
RSAD2,0.8142897000000007,0.0028272720911168077,0.7223490723059768,0.14125288062942037
S100A2,2.4417982999999994,0.0028272720911168077,0.7223490723059768,0.14125288062942037
SAA1,1.4807427166666667,0.00579535854433471,0.7223490723059768,0.14125288062942037
SALL1,-1.4503453666666655,0.00579535854433471,0.7223490723059768,0.14125288062942037
SAMD9,3.1425389333333333,0.0072845570094796615,0.7223490723059768,0.14125288062942037
SAMD9L,2.4918838166666664,0.0010079762403767444,0.7223490723059768,0.14125288062942037
SCEL,2.2860642500000004,0.004586392080253494,0.7223490723059768,0.14125288062942037
SEMA6D,-1.277198283333334,0.009108496398030963,0.7553569094779913,0.12184779381310676
SERPINB5,2.566715283333334,0.0072845570094796615,0.7223490723059768,0.14125288062942037
SERPING1,-1.7745066666666656,0.004586392080253494,0.7223490723059768,0.14125288062942037
SGMS2,1.2336064833333342,0.0007685389131627665,0.7223490723059768,0.14125288062942037
SH2D4A,2.010548600000001,0.0072845570094796615,0.7223490723059768,0.14125288062942037
SIRT1,-0.8059030499999995,0.00579535854433471,0.7223490723059768,0.14125288062942037
SLC16A10,-1.3623294499999998,0.0028272720911168077,0.7223490723059768,0.14125288062942037
SLC22A4,0.8621468999999999,0.0017062493689195967,0.7223490723059768,0.14125288062942037
SLC2A13,-0.8461820666666675,0.00579535854433471,0.7223490723059768,0.14125288062942037
SP100,2.515078550000001,0.0005828399431792743,0.7223490723059768,0.14125288062942037
SP110,0.9895506333333319,0.004586392080253494,0.7223490723059768,0.14125288062942037
SP140L,1.9548259999999997,0.00043963875262656454,0.7223490723059768,0.14125288062942037
SPAG1,1.1029619833333326,0.0022022199424970783,0.7223490723059768,0.14125288062942037
SPATS2L,2.241131150000001,0.0022022199424970783,0.7223490723059768,0.14125288062942037
SQRDL,2.583025016666668,0.0017062493689195967,0.7223490723059768,0.14125288062942037
SSFA2,1.1822197166666655,0.0017062493689195967,0.7223490723059768,0.14125288062942037
STAMBPL1,1.5640745833333316,0.0013149446697132139,0.7223490723059768,0.14125288062942037
STK39,1.0603793666666643,0.0017062493689195967,0.7223490723059768,0.14125288062942037
STRA6,-0.8097853833333328,0.00579535854433471,0.7223490723059768,0.14125288062942037
SUGCT,-1.2557198499999993,0.009108496398030963,0.7553569094779913,0.12184779381310676
TBC1D19,0.7899244833333343,0.0017062493689195967,0.7223490723059768,0.14125288062942037
TDRD7,1.310723283333333,0.0010079762403767444,0.7223490723059768,0.14125288062942037
TET1,-2.038539733333332,0.004586392080253494,0.7223490723059768,0.14125288062942037
TGFA,2.6131120999999986,0.00579535854433471,0.7223490723059768,0.14125288062942037
TGFB2,3.3408512666666663,0.0022022199424970783,0.7223490723059768,0.14125288062942037
TGFBI,2.9189363666666637,0.00579535854433471,0.7223490723059768,0.14125288062942037
TGS1,-0.6016999999999975,0.004586392080253494,0.7223490723059768,0.14125288062942037
THBS1,3.941395550000001,0.0028272720911168077,0.7223490723059768,0.14125288062942037
THOC7,0.7509431166666669,0.0005828399431792743,0.7223490723059768,0.14125288062942037
TIFA,0.7770267833333335,0.004586392080253494,0.7223490723059768,0.14125288062942037
TIMP2,1.3593804833333323,0.0072845570094796615,0.7223490723059768,0.14125288062942037
