gene,logFC,pval,adj_p,neg_log10_adj_p
IFIT2,1.9448285333333333,0.009108496398030963,0.7553569094779913,0.12184779381310676
IFIT3,1.881777800000001,0.0036105143123296027,0.7223490723059768,0.14125288062942037
IGKV1D-33,1.1420327166666668,0.009108496398030963,0.7553569094779913,0.12184779381310676
IL15,0.8769351999999992,0.00579535854433471,0.7223490723059768,0.14125288062942037
IL15RA,0.7925096333333332,0.009108496398030963,0.7553569094779913,0.12184779381310676
IL18R1,1.0350927666666667,0.00579535854433471,0.7223490723059768,0.14125288062942037
IL6ST,0.9039202833333349,0.0072845570094796615,0.7223490723059768,0.14125288062942037
INPP4B,2.1246066333333307,0.0017062493689195967,0.7223490723059768,0.14125288062942037
IPCEF1,-0.8952217999999998,0.0036105143123296027,0.7223490723059768,0.14125288062942037
IRF2,0.7979102166666667,0.0010079762403767444,0.7223490723059768,0.14125288062942037
ITGB6,3.2700415666666665,0.0028272720911168077,0.7223490723059768,0.14125288062942037
ITPR1,-1.1438434333333332,0.00579535854433471,0.7223490723059768,0.14125288062942037
KAT2B,1.3720939999999997,0.0022022199424970783,0.7223490723059768,0.14125288062942037
KCNG3,-0.8828899833333335,0.00579535854433471,0.7223490723059768,0.14125288062942037
KDM7A,-1.2275616499999984,0.0013149446697132139,0.7223490723059768,0.14125288062942037
KLHL2,0.7652022333333317,0.0013149446697132139,0.7223490723059768,0.14125288062942037
KRT7,3.7237571166666665,0.00579535854433471,0.7223490723059768,0.14125288062942037
LACTB,0.6038393500000003,0.00579535854433471,0.7223490723059768,0.14125288062942037
LAMA1,-1.5906765833333347,0.00579535854433471,0.7223490723059768,0.14125288062942037
LAMA3,1.636988866666667,0.00579535854433471,0.7223490723059768,0.14125288062942037
LCN2,2.0750553999999974,0.0072845570094796615,0.7223490723059768,0.14125288062942037
LEPR,0.980902116666666,0.0022022199424970783,0.7223490723059768,0.14125288062942037
LIF,1.2434678833333344,0.009108496398030963,0.7553569094779913,0.12184779381310676
LTBP1,-1.6342937666666666,0.004586392080253494,0.7223490723059768,0.14125288062942037
LYPD1,2.698228883333333,0.0036105143123296027,0.7223490723059768,0.14125288062942037
MAP1A,-0.8396803666666663,0.0013149446697132139,0.7223490723059768,0.14125288062942037
MAP3K15,-0.7836557333333332,0.009108496398030963,0.7553569094779913,0.12184779381310676
MARCH1,0.9533882333333352,0.009108496398030963,0.7553569094779913,0.12184779381310676
MBOAT2,1.0884353333333365,0.0028272720911168077,0.7223490723059768,0.14125288062942037
MCOLN3,1.3241553166666655,0.004586392080253494,0.7223490723059768,0.14125288062942037
MFAP2,-1.8742806166666677,0.00579535854433471,0.7223490723059768,0.14125288062942037
MFSD6,2.3222112333333325,0.00579535854433471,0.7223490723059768,0.14125288062942037
